Removed Pin From Net: NetName=GPIO_EXP_2 Pin=BUTTONS-1
Removed Pin From Net: NetName=GPIO_EXP_3 Pin=BUTTONS-2
Removed Pin From Net: NetName=GPIO_EXP_4 Pin=BUTTONS-3
Removed Pin From Net: NetName=GPIO_EXP_5 Pin=BUTTONS-4
Removed Pin From Net: NetName=GPIO_EXP_6 Pin=BUTTONS-5
Removed Pin From Net: NetName=+3.3V_VDD Pin=BUTTONS-6
Removed Pin From Net: NetName=+3.3V_VDD Pin=J1101-1
Removed Pin From Net: NetName=NetJ1101_2 Pin=J1101-2
Removed Pin From Net: NetName=NetJ1101_3 Pin=J1101-3
Removed Pin From Net: NetName=GND Pin=J1101-4
Removed Pin From Net: NetName=+3.3V_VDD Pin=J1102-1
Removed Pin From Net: NetName=NetJ1102_2 Pin=J1102-2
Removed Pin From Net: NetName=NetJ1102_3 Pin=J1102-3
Removed Pin From Net: NetName=GND Pin=J1102-4
Removed Pin From Net: NetName=CHASIS Pin=J1102-S1
Removed Pin From Net: NetName=CHASIS Pin=J1102-S2
Removed Pin From Net: NetName=GND Pin=J1103-1
Removed Pin From Net: NetName=CH7 Pin=J1103-2
Removed Pin From Net: NetName=CH6 Pin=J1103-3
Removed Pin From Net: NetName=CH5 Pin=J1103-4
Removed Pin From Net: NetName=CH4 Pin=J1103-5
Removed Pin From Net: NetName=CH3 Pin=J1103-6
Removed Pin From Net: NetName=CH2 Pin=J1103-7
Removed Pin From Net: NetName=CH0 Pin=J1104-1
Removed Pin From Net: NetName=GND Pin=J1104-2
Removed Pin From Net: NetName=CH1 Pin=J1105-1
Removed Pin From Net: NetName=GND Pin=J1105-2
Removed Pin From Net: NetName=NetJ1101_3 Pin=R1113-2
Removed Pin From Net: NetName=NetJ1102_2 Pin=R1114-2
Removed Member From Class: ClassName=11 EXPANSION CN Member=BUTTONS
Removed Member From Class: ClassName=11 EXPANSION CN Member=J1101
Removed Member From Class: ClassName=11 EXPANSION CN Member=J1102
Removed Member From Class: ClassName=11 EXPANSION CN Member=J1103
Removed Member From Class: ClassName=11 EXPANSION CN Member=J1104
Removed Member From Class: ClassName=11 EXPANSION CN Member=J1105
Change Component Footprint: Designator=J? Old Footprint=GCT FFC2B28-24 New Footprint=HIROSE DF13A-4P-1.25H
Change Component Comment : Designator=J? Old Comment=FFC2B28-24-G New Comment=I2C_CONN
Change component parameters: Designator = "J?" ("J?"); Footprint = "GCT FFC2B28-24"; UniqueID = "\FEHQPOGQ" ("\FEHQPOGQ")
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "Datasheet"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://www.hirose.com/product/download/?distributor=digikey&type=specSheet&lang=en&num=DF13A-4P-1.25H(75)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "DigiKey Link"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "//digikey.com/product-detail/en/hirose-electric-co-ltd/DF13A-4P-1.25H-75/H126438-ND/9170678"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Connector Type"; Value = "Header"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Finish - Mating"; Value = "Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Finish - Post"; Value = "Tin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Finish Thickness - Mating"; Value = "39.4µin (1.00µm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Material"; Value = "Brass"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Shape"; Value = "Square"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Contact Type"; Value = "Male Pin"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Current Rating (Amps)"; Value = "1A"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Fastening Type"; Value = "Detent Lock"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Features"; Value = "Solder Retention"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Insulation Color"; Value = "Beige"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Insulation Height"; Value = "0.142" (3.60mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Insulation Material"; Value = "Polyamide (PA), Nylon"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "LastUpdated"; Value = "12/16/2019 7:34:28 PM"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Lifecycle Status"; Value = "0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Hirose Electric Co Ltd"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Material Flammability Rating"; Value = "UL94 V-0"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Minimum Order"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount, Right Angle"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Positions"; Value = "4"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Positions Loaded"; Value = "All"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Number of Rows"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-35°C ~ 85°C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Tube"; VariantName = "[No Variations]"
