Altium Designer Pick and Place Locations
F:\PROJECTS\Dermscope_v2.2\Project Outputs for X98_CARRIER_V1R2\Pick Place for X98_CARRIER_V1R2_12082022.csv

========================================================================================================================
File Design Information:

Date:       15/04/24
Time:       00:04
Revision:   1c344e993bcac4b7cc07cf5e4cb99f57174f8d7c
Variant:    No variations
Units used: mm

"Layer","Designator","Center-X(mm)","Center-Y(mm)","Rotation","Footprint","Description","Manufacturer Part Number-1"
"TopLayer","C800","6.7993","18.1127","0","0603_CC","±20% 10V Ceramic Capacitor X5R 0603 (1608 Metric)","C1608X5R1A226M080AC"
"TopLayer","C808","7.9159","6.5707","90","0603_CC","±20% 10V Ceramic Capacitor X5R 0603 (1608 Metric)","C1608X5R1A226M080AC"
"TopLayer","J800","9.2138","2.8788","90","CUI_UJ2-MIBH2-4-SMT","Micro B, USB 2.0, 1.8 A, Right Angle, Surface Mount (SMT), USB Receptacle","UJ2-MIBH2-4-SMT"
"TopLayer","P800","15.5384","9.3980","180","HDR1X2","Header, 2-Pin","15-38-1026"
"TopLayer","J803","2.4066","11.1854","90","JST_B2B-PH-K-S(LF)(SN)","Connector Header Through Hole 2 position 0.079 (2.00mm)","B2B-PH-K-S (LF)(SN)"
"TopLayer","J802","2.3812","17.4338","90","JST_B2B-PH-K-S(LF)(SN)","Connector Header Through Hole 2 position 0.079 (2.00mm)","B2B-PH-K-S (LF)(SN)"
"TopLayer","C803","9.8996","20.3200","0","FP-CL10-IPC_A","Cap Ceramic 22uF 10V X5R ±20% Pad SMD 0603 +85°C T/R","CL10A226MPMNUBE"
"TopLayer","U800","9.8234","16.1290","90","SOT23-6","One Cell Lithium-ion/Polymer Battery Protection IC","DW01A"
"TopLayer","R803","12.9222","16.6878","90","FP-RMCF0402-IPC_B","1kO ±5% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant","RMCF0402JT1K00"
"TopLayer","R802","5.8928","6.5024","90","FP-RMCF0402-IPC_B","1kO ±5% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant","RMCF0402JT1K00"
"TopLayer","R801","1.9812","1.6256","0","FP-RMCF0402-IPC_B","1kO ±5% 0.063W 0402 Thick Film Chip Resistor AEC-Q200 compliant","RMCF0402JT1K00"
"TopLayer","R800","9.1630","10.1092","90","FP-RC0603-0_55-IPC_B","RES SMD 100 OHM 5% 1/10W 0603","RC0603JR-07100RL"
"TopLayer","Q800","15.2590","16.9672","90","SOP65P640X120-8N","N/A","FS8205A"
"TopLayer","D805","2.5336","3.9624","180","FP-SML-210-MFG","LED GREEN CLEAR 0805 SMD","SML-210MTT86"
"TopLayer","D803","2.5844","6.4770","180","FP-SML-21-MFG","LED RED CLEAR 0805 SMD","SML-210VTT86"
"TopLayer","R1115","27.4066","39.7425","90","FP-RMCF0603-IPC_C","10kO ±5% 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant","RMCF0603JT10K0"
"TopLayer","R1114","24.8920","39.8611","90","FP-RMCF0603-IPC_C","10kO ±5% 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant","RMCF0603JT10K0"
"TopLayer","J1105","3.3486","60.7060","270","AMPHENOL_10114828-10102LF","1.25mm Wire to Board Wafer,Vertical, Surface Mount, 2 Positions","10114828-10102LF"
"TopLayer","J1104","3.3994","36.8808","270","AMPHENOL_10114828-10102LF","1.25mm Wire to Board Wafer,Vertical, Surface Mount, 2 Positions","10114828-10102LF"
"TopLayer","J1103","3.3486","48.8942","270","AMPHENOL_10114828-11107LF","1.25mm Wire to Board Wafer,Vertical, Surface Mount, 7 Positions","10114828-11107LF"
"TopLayer","R1108","9.8298","40.4368","180","FP-RMCF0603-IPC_C","10kO ±5% 0.1W 0603 Thick Film Chip Resistor AEC-Q200 compliant","RMCF0603JT10K0"
"TopLayer","BUTTONS","33.5280","68.3020","180","JST_BM06B-GHS-TBT(LF)(SN)(N)","Connector Header Surface Mount 6 position 0.049 _1.25mm_","BM06B-GHS-TBT_LF__SN__N_"
